"Pot","Genotype","FRI","mutant","Treatment.V","Chamber","Days.to.Bolt"
1,"Col","fri","WT","22ConLDNV",1,20
7,"Col FRI","FRI","WT","22ConLDNV",1,44
11,"Col","fri","WT","22ConLDNV",1,20
13,"Col FRI","FRI","WT","22ConLDNV",1,53
14,"Col FRI","FRI","WT","22ConLDNV",1,70
18,"Col","fri","WT","22ConLDNV",1,18
23,"Col","fri","WT","22ConLDNV",1,21
24,"Col FRI","FRI","WT","22ConLDNV",1,65
2,"Col","fri","WT","22VarLDNV",2,19
6,"Col","fri","WT","22VarLDNV",2,22
10,"Col FRI","FRI","WT","22VarLDNV",2,45
14,"Col FRI","FRI","WT","22VarLDNV",2,46
16,"Col FRI","FRI","WT","22VarLDNV",2,45
20,"Col","fri","WT","22VarLDNV",2,21
22,"Col","fri","WT","22VarLDNV",2,22
24,"Col FRI","FRI","WT","22VarLDNV",2,45
2,"Col FRI","FRI","WT","22ConLDNV",3,68
3,"Col","fri","WT","22ConLDNV",3,21
6,"Col","fri","WT","22ConLDNV",3,22
9,"Col","fri","WT","22ConLDNV",3,18
10,"Col FRI","FRI","WT","22ConLDNV",3,73
13,"Col FRI","FRI","WT","22ConLDNV",3,79
17,"Col FRI","FRI","WT","22ConLDNV",3,44
22,"Col","fri","WT","22ConLDNV",3,20
2,"Col","fri","WT","22VarLDV",4,19
6,"Col","fri","WT","22VarLDV",4,17
8,"Col FRI","FRI","WT","22VarLDV",4,25
10,"Col","fri","WT","22VarLDV",4,19
11,"Col FRI","FRI","WT","22VarLDV",4,25
13,"Col","fri","WT","22VarLDV",4,20
19,"Col FRI","FRI","WT","22VarLDV",4,25
21,"Col FRI","FRI","WT","22VarLDV",4,26
3,"Col FRI","FRI","WT","22ConLDV",5,25
5,"Col","fri","WT","22ConLDV",5,18
10,"Col FRI","FRI","WT","22ConLDV",5,23
11,"Col FRI","FRI","WT","22ConLDV",5,21
14,"Col","fri","WT","22ConLDV",5,18
15,"Col FRI","FRI","WT","22ConLDV",5,20
19,"Col","fri","WT","22ConLDV",5,16
20,"Col","fri","WT","22ConLDV",5,17
2,"Col","fri","WT","22ConLDV",6,15
5,"Col","fri","WT","22ConLDV",6,17
8,"Col","fri","WT","22ConLDV",6,17
10,"Col FRI","FRI","WT","22ConLDV",6,20
14,"Col FRI","FRI","WT","22ConLDV",6,23
18,"Col FRI","FRI","WT","22ConLDV",6,21
21,"Col FRI","FRI","WT","22ConLDV",6,20
24,"Col","fri","WT","22ConLDV",6,17
4,"Col","fri","WT","22VarLDV",7,19
5,"Col FRI","FRI","WT","22VarLDV",7,24
8,"Col","fri","WT","22VarLDV",7,19
11,"Col FRI","FRI","WT","22VarLDV",7,23
16,"Col","fri","WT","22VarLDV",7,17
18,"Col FRI","FRI","WT","22VarLDV",7,24
19,"Col","fri","WT","22VarLDV",7,17
23,"Col FRI","FRI","WT","22VarLDV",7,21
2,"Col FRI","FRI","WT","22VarLDNV",8,38
14,"Col","fri","WT","22VarLDNV",8,20
16,"Col","fri","WT","22VarLDNV",8,24
19,"Col","fri","WT","22VarLDNV",8,20
20,"Col FRI","FRI","WT","22VarLDNV",8,36
22,"Col FRI","FRI","WT","22VarLDNV",8,40
23,"Col","fri","WT","22VarLDNV",8,19
24,"Col FRI","FRI","WT","22VarLDNV",8,38
